indexszam;fix szamok;kombinációs számok;Alapjátékok száma
007;0;7;7
008;0;8;28
009;0;9;84
010;0;101;210
011;0;11;462
012;0;12;924
107;1;7;21
108;1;8;56
109;1;9;126
110;1;10;252
111;1;11;462
206;2;6;15
207;2;7;35
208;2;8;70
209;2;9;126
210;2;10;210
211;2;11;330
212;2;12;495
213;2;13;715
305;3;5;10
306;3;6;20
307;3;7;35
308;3;8;56
309;3;9;84
310;3;10;120
311;3;11;165
312;3;12;220
313;3;13;286
314;3;14;364
315;3;15;455
316;3;16;560
317;3;17;680
318;3;18;816
405;4;5;10
406;4;6;15
407;4;7;21
408;4;8;28
409;4;9;36
410;4;10;45
411;4;11;55
412;4;12;66
413;4;13;78
414;4;14;91
415;4;15;105
416;4;16;120
417;4;17;136
418;4;18;153
540;5;40;40
