;Fix számok;kombinációs számok;7;6;5;4
008;0;7;1;7;0;0
008;0;6;0;0;6;0
008;0;5;0;0;3;5
008;0;4;0;0;0;4
009;0;7;1;14;21;0
009;0;6;0;3;18;15
009;0;5;0;0;6;20
009;0;4;0;0;0;10
010;0;7;1;21;63;35
010;0;6;0;4;36;60
010;0;5;0;0;10;50
010;0;4;0;0;0;20
011;0;7;1;28;126;140
011;0;6;0;5;60;150
011;0;5;0;0;15;100
011;0;4;0;0;0;35
107;1;6;1;6;0;0
107;1;5;0;2;5;0
107;1;4;0;0;3;4
107;1;3;0;0;0;4
107;0;7;0;7;0;0
107;0;6;0;1;6;0
107;0;5;0;0;2;5
107;0;4;0;0;0;3
108;1;6;1;12;15;0
108;1;5;0;3;15;10
108;1;4;0;0;6;16
108;1;3;0;0;0;10
108;0;7;0;7;21;0
108;0;6;0;1;12;15
108;0;5;0;0;3;16
108;0;4;0;0;0;6
109;1;6;1;18;45;20
109;1;5;0;4;30;40
109;1;4;0;0;10;40
109;1;3;0;0;0;20
109;0;7;0;7;42;35
109;0;6;0;1;18;45
109;0;5;0;0;4;30
109;0;4;0;0;0;10
110;1;6;1;24;90;80
110;1;5;0;5;50;100
110;1;4;0;0;15;80
110;1;3;0;0;0;35
110;0;7;0;7;63;105
110;0;6;0;1;24;90
110;0;5;0;0;5;50
110;0;4;0;0;0;15
206;2;5;1;5;0;0
206;2;4;0;2;4;0
206;2;3;0;0;3;3
206;2;2;0;0;0;4
206;1;6;0;6;0;0
206;1;5;0;1;5;0
206;1;4;0;0;2;4
206;1;3;0;0;0;3
206;0;6;0;0;6;0
206;0;5;0;0;1;5
206;0;4;0;0;0;2
207;2;5;1;10;10;0
207;2;4;0;3;12;6
207;2;3;0;0;6;12
207;2;2;0;0;0;10
207;1;6;0;6;15;0
207;1;5;0;1;10;10
207;1;4;0;0;3;12
207;1;3;0;0;0;6
207;0;7;0;0;21;0
207;0;6;0;0;6;15
207;0;5;0;0;1;10
207;0;4;0;0;0;3
208;2;5;1;15;30;10
208;2;4;0;4;24;24
208;2;3;0;0;10;30
208;2;2;0;0;0;20
208;1;6;0;6;30;20
208;1;5;0;0;15;30
208;1;4;0;0;4;24
208;1;3;0;0;0;10
208;0;7;0;0;21;35
208;0;6;0;0;6;30
208;0;5;0;0;1;15
208;0;4;0;0;0;4
209;2;5;1;20;60;40
209;2;4;0;5;40;60
209;2;3;0;0;15;60
209;2;2;0;0;0;35
209;1;6;0;6;45;60
209;1;5;0;1;20;60
209;1;4;0;0;5;40
209;1;3;0;0;0;15
209;0;7;0;0;21;70
209;0;6;0;0;6;45
